Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
26,0.00129,,,,,,,,,,,,,,
27,0.00124,,,,,,,,,,,,,,
28,0.00120,,,,,,,,,,,,,,
29,0.00117,,,,,,,,,,,,,,
30,0.00114,,,,,,,,,,,,,,
31,0.00112,,,,,,,,,,,,,,
32,0.00111,,,,,,,,,,,,,,
33,0.00112,,,,,,,,,,,,,,
34,0.00114,,,,,,,,,,,,,,
35,0.00117,,,,,,,,,,,,,,
36,0.00122,,,,,,,,,,,,,,
37,0.00128,,,,,,,,,,,,,,
38,0.00136,,,,,,,,,,,,,,
39,0.00145,,,,,,,,,,,,,,
40,0.00156,,,,,,,,,,,,,,
41,0.00170,,,,,,,,,,,,,,
42,0.00187,,,,,,,,,,,,,,
43,0.00207,,,,,,,,,,,,,,
44,0.00231,,,,,,,,,,,,,,
45,0.00258,,,,,,,,,,,,,,
46,0.00289,,,,,,,,,,,,,,
47,0.00324,,,,,,,,,,,,,,
48,0.00361,,,,,,,,,,,,,,
49,0.00402,,,,,,,,,,,,,,
50,0.00445,,,,,,,,,,,,,,
51,0.00492,,,,,,,,,,,,,,
52,0.00544,,,,,,,,,,,,,,
53,0.00600,,,,,,,,,,,,,,
54,0.00661,,,,,,,,,,,,,,
55,0.00727,,,,,,,,,,,,,,
56,0.00801,,,,,,,,,,,,,,
57,0.00882,,,,,,,,,,,,,,
58,0.00973,,,,,,,,,,,,,,
59,0.01075,,,,,,,,,,,,,,
60,0.01189,,,,,,,,,,,,,,
61,0.01317,,,,,,,,,,,,,,
62,0.01457,,,,,,,,,,,,,,
63,0.01607,,,,,,,,,,,,,,
64,0.01771,,,,,,,,,,,,,,
65,0.01950,,,,,,,,,,,,,,
66,0.02147,,,,,,,,,,,,,,
67,0.02365,,,,,,,,,,,,,,
68,0.02605,,,,,,,,,,,,,,
69,0.02869,,,,,,,,,,,,,,
70,0.03157,,,,,,,,,,,,,,
71,0.03468,,,,,,,,,,,,,,
72,0.03800,,,,,,,,,,,,,,
73,0.04160,,,,,,,,,,,,,,
74,0.04554,,,,,,,,,,,,,,
75,0.04990,,,,,,,,,,,,,,
76,0.05471,,,,,,,,,,,,,,
77,0.06003,,,,,,,,,,,,,,
78,0.06585,,,,,,,,,,,,,,
79,0.07218,,,,,,,,,,,,,,
80,0.07902,,,,,,,,,,,,,,
81,0.08636,,,,,,,,,,,,,,
82,0.09412,,,,,,,,,,,,,,
83,0.10235,,,,,,,,,,,,,,
84,0.11141,,,,,,,,,,,,,,
85,0.12131,,,,,,,,,,,,,,
86,0.13205,,,,,,,,,,,,,,
87,0.14363,,,,,,,,,,,,,,
88,0.15605,,,,,,,,,,,,,,
89,0.16912,,,,,,,,,,,,,,
90,0.18261,,,,,,,,,,,,,,
91,0.19652,,,,,,,,,,,,,,
92,0.21085,,,,,,,,,,,,,,
93,0.22560,,,,,,,,,,,,,,
94,0.24077,,,,,,,,,,,,,,
95,0.25636,,,,,,,,,,,,,,
96,0.27237,,,,,,,,,,,,,,
97,0.28880,,,,,,,,,,,,,,
98,0.30565,,,,,,,,,,,,,,
99,0.32292,,,,,,,,,,,,,,
100,0.34061,,,,,,,,,,,,,,
101,0.35872,,,,,,,,,,,,,,
102,0.37725,,,,,,,,,,,,,,
