Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
92,0.15814,,,,,,,,,,,,,,
93,0.17077,,,,,,,,,,,,,,
94,0.18395,,,,,,,,,,,,,,
95,0.19768,,,,,,,,,,,,,,
96,0.21196,,,,,,,,,,,,,,
97,0.22679,,,,,,,,,,,,,,
98,0.24217,,,,,,,,,,,,,,
99,0.25810,,,,,,,,,,,,,,
100,0.27458,,,,,,,,,,,,,,
101,0.29161,,,,,,,,,,,,,,
102,0.30919,,,,,,,,,,,,,,
103,0.33002,,,,,,,,,,,,,,
104,0.35226,,,,,,,,,,,,,,
105,0.37600,,,,,,,,,,,,,,
106,0.40134,,,,,,,,,,,,,,
107,0.42838,,,,,,,,,,,,,,
108,0.45725,,,,,,,,,,,,,,
109,0.48806,,,,,,,,,,,,,,
110,0.52095,,,,,,,,,,,,,,
111,0.55605,,,,,,,,,,,,,,
112,0.59352,,,,,,,,,,,,,,
113,0.63351,,,,,,,,,,,,,,
114,0.67620,,,,,,,,,,,,,,
115,0.72177,,,,,,,,,,,,,,
116,0.77040,,,,,,,,,,,,,,
117,0.82231,,,,,,,,,,,,,,
118,0.87772,,,,,,,,,,,,,,
119,0.93687,,,,,,,,,,,,,,
120,1.00000,,,,,,,,,,,,,,
